MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.225	-0.05	-0.05	2.25	NAN	
0.1	0	-0.01	-0.01	0	NAN	
0.2	0.03	-0.015	-0.015	0.3	NAN	
0.3	0.06	-0.02	-0.02	0.6	NAN	
0.4	0.075	0	0	0.75	NAN	
0.5	0.105	-0.02	-0.02	1.05	NAN	
0.6	0.135	0	0	1.35	NAN	
0.7	0.165	-0.005	-0.005	1.65	NAN	
0.8	0.195	-0.005	-0.005	1.95	NAN	
0.9	0.21	0	0	2.1	NAN	
1	0.24	0.005	0.005	2.4	NAN	
1.1	0.27	0	0	2.7	NAN	
1.2	0.3	0.015	0.015	3	NAN	
1.3	0.33	0.015	0.015	3.3	NAN	
1.4	0.345	0.03	0.03	3.45	NAN	
1.5	0.36	0.01	0.01	3.6	NAN	
1.6	0.39	0.01	0.01	3.9	NAN	
1.7	0.42	0.01	0.01	4.2	NAN	
1.8	0.45	0.155	0.155	4.5	NAN	
1.9	0.48	0.175	0.175	4.8	NAN	
2	0.495	0.21	0.21	4.95	NAN	
2.1	0.525	0.15	0.15	5.25	NAN	
2.2	0.555	0.045	0.045	5.55	NAN	
2.3	0.585	0.035	0.035	5.85	NAN	
2.4	0.615	0.01	0.01	6.15	NAN	
2.5	0.63	0.01	0.01	6.3	NAN	
2.6	0.66	0.005	0.005	6.6	NAN	
2.7	0.69	-0.015	-0.015	6.9	NAN	
2.8	0.72	-0.045	-0.045	7.2	NAN	
2.9	0.735	0.015	0.015	7.35	NAN	
3	0.765	0.045	0.045	7.65	NAN	
3.1	0.78	0.065	0.065	7.8	NAN	
3.2	0.81	0.215	0.215	8.1	NAN	
3.3	0.84	0.23	0.23	8.4	NAN	
3.4	0.87	0.41	0.41	8.7	NAN	
3.5	0.9	0.555	0.555	9	NAN	
3.6	0.915	0.795	0.795	9.15	NAN	
3.7	0.945	0.735	0.735	9.45	NAN	
3.8	0.975	0.62	0.62	9.75	NAN	
3.9	1.005	0.43	0.43	10.05	NAN	
4	1.035	0.13	0.13	10.35	NAN	
4.1	1.05	0.09	0.09	10.5	NAN	
4.2	1.065	0.04	0.04	10.65	NAN	
4.3	1.095	0.055	0.055	10.95	NAN	
4.4	1.125	0.05	0.05	11.25	NAN	
4.5	1.155	0.045	0.045	11.55	NAN	
4.6	1.17	0.015	0.015	11.7	NAN	
4.7	1.2	0.08	0.08	12	NAN	
4.8	1.23	0.055	0.055	12.3	NAN	
4.9	1.26	0.07	0.07	12.6	NAN	
5	1.29	0.185	0.185	12.9	NAN	
5.1	1.305	0.385	0.385	13.05	NAN	
5.2	1.335	0.705	0.705	13.35	NAN	
5.3	1.365	0.98	0.98	13.65	NAN	
5.4	1.395	1.265	1.265	13.95	NAN	
5.5	1.41	1.62	1.62	14.1	NAN	
5.6	1.44	1.39	1.39	14.4	NAN	
5.7	1.455	1.335	1.335	14.55	NAN	
5.8	1.485	0.82	0.82	14.85	NAN	
5.9	1.515	0.5	0.5	15.15	NAN	
6	1.545	0.215	0.215	15.45	NAN	
6.1	1.575	0.07	0.07	15.75	NAN	
6.2	1.59	0	0	15.9	NAN	
6.3	1.62	0.01	0.01	16.2	NAN	
6.4	1.65	0.02	0.02	16.5	NAN	
6.5	1.68	0.02	0.02	16.8	NAN	
6.6	1.71	0.06	0.06	17.1	NAN	
6.7	1.725	0.255	0.255	17.25	NAN	
6.8	1.74	0.44	0.44	17.4	NAN	
6.9	1.77	0.53	0.53	17.7	NAN	
7	1.8	0.87	0.87	18	NAN	
7.1	1.83	1.37	1.37	18.3	NAN	
7.2	1.845	1.755	1.755	18.45	NAN	
7.3	1.875	1.905	1.905	18.75	NAN	
7.4	1.905	2.195	2.195	19.05	NAN	
7.5	1.935	2.215	2.215	19.35	NAN	
7.6	1.95	2.035	2.035	19.5	NAN	
7.7	1.98	1.76	1.76	19.8	NAN	
7.8	2.01	1.085	1.085	20.1	NAN	
7.9	2.04	0.795	0.795	20.4	NAN	
8	2.07	0.305	0.305	20.7	NAN	
8.1	2.07	0.24	0.24	20.7	NAN	
8.2	2.1	0.015	0.015	21	NAN	
8.3	2.13	0.08	0.08	21.3	NAN	
8.4	2.16	0.06	0.06	21.6	NAN	
8.5	2.19	0.04	0.04	21.9	NAN	
8.6	2.205	0.27	0.27	22.05	NAN	
8.7	2.235	0.53	0.53	22.35	NAN	
8.8	2.265	0.815	0.815	22.65	NAN	
8.9	2.295	1.325	1.325	22.95	NAN	
9	2.31	1.7	1.7	23.1	NAN	
9.1	2.34	2.235	2.235	23.4	NAN	
9.2	2.37	2.93	2.93	23.7	NAN	
9.3	2.4	3.2	3.2	24	NAN	
9.4	2.415	3.54	3.54	24.15	NAN	
9.5	2.445	3.37	3.37	24.45	NAN	
9.6	2.46	2.655	2.655	24.6	NAN	
9.7	2.49	2.095	2.095	24.9	NAN	
9.8	2.52	1.61	1.61	25.2	NAN	
9.9	2.55	0.93	0.93	25.5	NAN	
10	2.565	0.75	0.75	25.65	NAN	
10.1	2.595	0.325	0.325	25.95	NAN	
10.2	2.625	0.305	0.305	26.25	NAN	
10.3	2.655	0.245	0.245	26.55	NAN	
10.4	2.685	0.215	0.215	26.85	NAN	
10.5	2.7	0.53	0.53	27	NAN	
10.6	2.73	0.605	0.605	27.3	NAN	
10.7	2.745	0.97	0.97	27.45	NAN	
10.8	2.775	1.57	1.57	27.75	NAN	
10.9	2.805	2.175	2.175	28.05	NAN	
11	2.82	2.755	2.755	28.2	NAN	
11.1	2.85	3.49	3.49	28.5	NAN	
11.2	2.88	4.23	4.23	28.8	NAN	
11.3	2.91	4.6	4.6	29.1	NAN	
11.4	2.925	4.655	4.655	29.25	NAN	
11.5	2.955	4.37	4.37	29.55	NAN	
11.6	2.985	3.815	3.815	29.85	NAN	
11.7	3.015	3.07	3.07	30.15	NAN	
11.8	3.045	2.485	2.485	30.45	NAN	
11.9	3.06	1.56	1.56	30.6	NAN	
12	3.075	1.105	1.105	30.75	NAN	
12.1	3.105	0.75	0.75	31.05	NAN	
12.2	3.135	0.67	0.67	31.35	NAN	
12.3	3.165	0.59	0.59	31.65	NAN	
12.4	3.18	0.65	0.65	31.8	NAN	
12.5	3.195	0.74	0.74	31.95	NAN	
12.6	3.195	0.645	0.645	31.95	NAN	
12.7	3.195	0.62	0.62	31.95	NAN	
12.8	3.195	0.555	0.555	31.95	NAN	
12.9	3.195	0.62	0.62	31.95	NAN	
13	3.195	0.49	0.49	31.95	NAN	
13.1	3.195	0.595	0.595	31.95	NAN	
13.2	3.195	0.46	0.46	31.95	NAN	
13.3	3.195	0.525	0.525	31.95	NAN	
13.4	3.195	0.47	0.47	31.95	NAN	
13.5	3.195	0.6	0.6	31.95	NAN	
13.6	3.195	0.54	0.54	31.95	NAN	
