MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.255	-0.02	-0.02	2.55	NAN	
0.101	0.015	-0.05	-0.05	0.15	NAN	
0.201	0.03	-0.015	-0.015	0.3	NAN	
0.301	0.06	-0.02	-0.02	0.6	NAN	
0.401	0.09	-0.035	-0.035	0.9	NAN	
0.501	0.12	-0.03	-0.03	1.2	NAN	
0.601	0.15	-0.005	-0.005	1.5	NAN	
0.701	0.165	-0.025	-0.025	1.65	NAN	
0.801	0.195	-0.005	-0.005	1.95	NAN	
0.901	0.225	0.005	0.005	2.25	NAN	
1.001	0.255	-0.025	-0.025	2.55	NAN	
1.101	0.285	0.01	0.01	2.85	NAN	
1.201	0.3	-0.015	-0.015	3	NAN	
1.301	0.33	0.025	0.025	3.3	NAN	
1.401	0.36	0.05	0.05	3.6	NAN	
1.501	0.375	0.08	0.08	3.75	NAN	
1.601	0.405	0.06	0.06	4.05	NAN	
1.701	0.435	0.12	0.12	4.35	NAN	
1.801	0.45	0.18	0.18	4.5	NAN	
1.901	0.48	0.16	0.16	4.8	NAN	
2.001	0.51	0.14	0.14	5.1	NAN	
2.101	0.54	0.08	0.08	5.4	NAN	
2.201	0.57	0.14	0.14	5.7	NAN	
2.301	0.585	0.02	0.02	5.85	NAN	
2.401	0.615	0.06	0.06	6.15	NAN	
2.501	0.645	0.06	0.06	6.45	NAN	
2.601	0.675	0.05	0.05	6.75	NAN	
2.701	0.705	0.04	0.04	7.05	NAN	
2.801	0.72	-0.02	-0.02	7.2	NAN	
2.901	0.735	0.025	0.025	7.35	NAN	
3.001	0.765	0	0	7.65	NAN	
3.101	0.795	0.105	0.105	7.95	NAN	
3.201	0.825	0.225	0.225	8.25	NAN	
3.301	0.855	0.42	0.42	8.55	NAN	
3.401	0.87	0.595	0.595	8.7	NAN	
3.501	0.9	0.805	0.805	9	NAN	
3.601	0.93	0.875	0.875	9.3	NAN	
3.701	0.96	1.21	1.21	9.6	NAN	
3.801	0.99	0.755	0.755	9.9	NAN	
3.901	1.005	0.82	0.82	10.05	NAN	
4.001	1.035	0.37	0.37	10.35	NAN	
4.101	1.065	0.155	0.155	10.65	NAN	
4.201	1.08	0.07	0.07	10.8	NAN	
4.301	1.11	0.02	0.02	11.1	NAN	
4.401	1.125	0.02	0.02	11.25	NAN	
4.501	1.155	0.12	0.12	11.55	NAN	
4.601	1.185	0.005	0.005	11.85	NAN	
4.701	1.215	0.265	0.265	12.15	NAN	
4.801	1.245	0.23	0.23	12.45	NAN	
4.901	1.26	0.38	0.38	12.6	NAN	
5.001	1.29	0.61	0.61	12.9	NAN	
5.101	1.32	0.855	0.855	13.2	NAN	
5.201	1.35	1.07	1.07	13.5	NAN	
5.301	1.38	1.59	1.59	13.8	NAN	
5.401	1.395	1.8	1.8	13.95	NAN	
5.501	1.41	2.34	2.34	14.1	NAN	
5.601	1.44	1.945	1.945	14.4	NAN	
5.701	1.47	1.715	1.715	14.7	NAN	
5.801	1.5	1.06	1.06	15	NAN	
5.901	1.515	0.775	0.775	15.15	NAN	
6.001	1.545	0.46	0.46	15.45	NAN	
6.101	1.575	0.21	0.21	15.75	NAN	
6.201	1.605	0.13	0.13	16.05	NAN	
6.301	1.635	0.11	0.11	16.35	NAN	
6.401	1.65	0.045	0.045	16.5	NAN	
6.501	1.68	0.21	0.21	16.8	NAN	
6.601	1.71	0.365	0.365	17.1	NAN	
6.701	1.74	0.74	0.74	17.4	NAN	
6.801	1.77	0.595	0.595	17.7	NAN	
6.901	1.77	1.225	1.225	17.7	NAN	
7.001	1.8	1.655	1.655	18	NAN	
7.101	1.83	2.165	2.165	18.3	NAN	
7.201	1.86	2.52	2.52	18.6	NAN	
7.301	1.89	3.04	3.04	18.9	NAN	
7.401	1.905	3.34	3.34	19.05	NAN	
7.501	1.935	3.43	3.43	19.35	NAN	
7.601	1.965	2.945	2.945	19.65	NAN	
7.701	1.995	2.245	2.245	19.95	NAN	
7.801	2.01	1.42	1.42	20.1	NAN	
7.901	2.04	1.06	1.06	20.4	NAN	
8.001	2.07	0.68	0.68	20.7	NAN	
8.101	2.1	0.175	0.175	21	NAN	
8.201	2.115	0.19	0.19	21.15	NAN	
8.301	2.13	0.195	0.195	21.3	NAN	
8.401	2.16	0.5	0.5	21.6	NAN	
8.501	2.19	0.705	0.705	21.9	NAN	
8.601	2.22	0.995	0.995	22.2	NAN	
8.701	2.25	1.205	1.205	22.5	NAN	
8.801	2.265	1.71	1.71	22.65	NAN	
8.901	2.295	2.31	2.31	22.95	NAN	
9.001	2.325	3.18	3.18	23.25	NAN	
9.101	2.355	3.72	3.72	23.55	NAN	
9.201	2.385	4.62	4.62	23.85	NAN	
9.301	2.4	4.895	4.895	24	NAN	
9.401	2.43	4.745	4.745	24.3	NAN	
9.501	2.445	4.655	4.655	24.45	NAN	
9.601	2.475	3.97	3.97	24.75	NAN	
9.701	2.505	2.885	2.885	25.05	NAN	
9.801	2.52	2.29	2.29	25.2	NAN	
9.901	2.55	1.435	1.435	25.5	NAN	
10.001	2.58	0.955	0.955	25.8	NAN	
10.101	2.61	0.69	0.69	26.1	NAN	
10.201	2.64	0.765	0.765	26.4	NAN	
10.301	2.655	0.855	0.855	26.55	NAN	
10.401	2.685	1.07	1.07	26.85	NAN	
10.501	2.715	1.235	1.235	27.15	NAN	
10.601	2.745	1.745	1.745	27.45	NAN	
10.701	2.76	2.355	2.355	27.6	NAN	
10.801	2.775	3.14	3.14	27.75	NAN	
10.901	2.805	4	4	28.05	NAN	
11.001	2.835	4.985	4.985	28.35	NAN	
11.101	2.865	5.95	5.95	28.65	NAN	
11.201	2.895	6.69	6.69	28.95	NAN	
11.301	2.91	6.95	6.95	29.1	NAN	
11.401	2.94	6.76	6.76	29.4	NAN	
11.501	2.97	6.09	6.09	29.7	NAN	
11.601	3	5.2	5.2	30	NAN	
11.701	3.015	4.145	4.145	30.15	NAN	
11.801	3.045	3.195	3.195	30.45	NAN	
11.901	3.075	2.4	2.4	30.75	NAN	
12.001	3.09	1.815	1.815	30.9	NAN	
12.101	3.12	1.465	1.465	31.2	NAN	
12.201	3.15	1.35	1.35	31.5	NAN	
12.301	3.165	1.44	1.44	31.65	NAN	
12.401	3.195	1.52	1.52	31.95	NAN	
12.501	3.195	1.67	1.67	31.95	NAN	
12.601	3.195	1.495	1.495	31.95	NAN	
12.701	3.195	1.515	1.515	31.95	NAN	
12.801	3.195	1.505	1.505	31.95	NAN	
12.901	3.195	1.515	1.515	31.95	NAN	
13.001	3.195	1.53	1.53	31.95	NAN	
13.101	3.195	1.505	1.505	31.95	NAN	
13.201	3.195	1.545	1.545	31.95	NAN	
13.301	3.195	1.7	1.7	31.95	NAN	
13.401	3.195	1.44	1.44	31.95	NAN	
